message,description,id,page_id,full_text,locations
"Kawah Putih (White Crater), Ciwidey, Bandung. 

© Faris Fajri",,433618953473105_559899864178346,wonderfulplacesindo,"Kawah Putih (White Crater), Ciwidey, Bandung. 

 Faris Fajri ",Bandung$$Ciwidey
"Ternate city, The capital city of North Maluku Province.

©Ilham Arch",,433618953473105_557248347776831,wonderfulplacesindo,"Ternate city, The capital city of North Maluku Province.

Ilham Arch ",Ternate$$North Maluku Province
"Playing with friendly wild sharks in Wayag island, Raja ampat, Papua.

Dare you do that?",,433618953473105_556879377813728,wonderfulplacesindo,"Playing with friendly wild sharks in Wayag island, Raja ampat, Papua.

Dare you do that? ",Wayag$$Papua
"The Lodge Lembang, Bandung, West Java. 

© whelly herlina",,433618953473105_555096364658696,wonderfulplacesindo,"The Lodge Lembang, Bandung, West Java. 

 whelly herlina ",West Java$$Bandung
"Gentong Waterfall, Bogor, West Java. 

© amboreynaldi",,433618953473105_554479551387044,wonderfulplacesindo,"Gentong Waterfall, Bogor, West Java. 

 amboreynaldi ",West Java$$Bogor
"Hawang cave, Kei island, Southeast Maluku.

© her_journeys",,433618953473105_553810471453952,wonderfulplacesindo,"Hawang cave, Kei island, Southeast Maluku.

 her_journeys ",Southeast Maluku
"Playing with wild sharks and enjoy the crystal clear waters of Raja ampat.

© Kakaban Trip",,433618953473105_549995121835487,wonderfulplacesindo,"Playing with wild sharks and enjoy the crystal clear waters of Raja ampat.

 Kakaban Trip ",
"Temam waterfall, Lubuklinggau - South Sumatera.",,433618953473105_547713035397029,wonderfulplacesindo,"Temam waterfall, Lubuklinggau - South Sumatera. ",Lubuklinggau
"Pink beach, Komodo national park,  Flores.

© Alfin Fransly",,433618953473105_543084995859833,wonderfulplacesindo,"Pink beach, Komodo national park,  Flores.

 Alfin Fransly ",
"Git Git Waterfall,  Bali",,433618953473105_541713869330279,wonderfulplacesindo,"Git Git Waterfall,  Bali ",Bali
"Iboih Island, Aceh.

© Fariz Hidayat",,433618953473105_534924870009179,wonderfulplacesindo,"Iboih Island, Aceh.

 Fariz Hidayat ",Iboih Island$$Aceh
"Ngurtafur's white sand beach in the Kei archipelago, Southeast Maluku.",,433618953473105_530477210453945,wonderfulplacesindo,"Ngurtafur's white sand beach in the Kei archipelago, Southeast Maluku. ",Southeast Maluku
"Pink Beach, Flores, NTT.

© Barry Kusuma",,433618953473105_530138273821172,wonderfulplacesindo,"Pink Beach, Flores, NTT.

 Barry Kusuma ",Pink Beach
"The never ending beauty of Raja ampat.

© Amazing Places To Visit",,433618953473105_529796080522058,wonderfulplacesindo,"The never ending beauty of Raja ampat.

 Amazing Places To Visit ",
"Rain forest of Kalimantan (Borneo).
Amazing photo by Tim Laman - Wildlife Photojournalist",,433618953473105_528731373961862,wonderfulplacesindo,"Rain forest of Kalimantan (Borneo).
Amazing photo by Tim Laman - Wildlife Photojournalist ",Borneo$$Kalimantan
"Tiu Kelep Waterfall, LOMBOK.

Photo Credit to : Ingga Suwandana",,433618953473105_528387033996296,wonderfulplacesindo,"Tiu Kelep Waterfall, LOMBOK.

Photo Credit to : Ingga Suwandana ",LOMBOK
"Goa Jomblang, Yogyakarta.

Photo credit to : Best Vacations",,433618953473105_528302387338094,wonderfulplacesindo,"Goa Jomblang, Yogyakarta.

Photo credit to : Best Vacations ",Yogyakarta
"Cikaso Waterfall, Sukabumi, West Java.",,433618953473105_527853587382974,wonderfulplacesindo,"Cikaso Waterfall, Sukabumi, West Java. ",West Java$$Sukabumi
"Tegenungan waterfall, BALI

Photo credit to : Imachicnation",,433618953473105_526909824144017,wonderfulplacesindo,"Tegenungan waterfall, BALI

Photo credit to : Imachicnation ",
"Madakaripura Waterfall, Probolinggo, East Java.
 
Photo by : Yvdhy Blacktoner Mark III",,433618953473105_526090117559321,wonderfulplacesindo,"Madakaripura Waterfall, Probolinggo, East Java.
 
Photo by : Yvdhy Blacktoner Mark III ",Probolinggo
"Pink beach, Flores from above.",,433618953473105_526038784231121,wonderfulplacesindo,"Pink beach, Flores from above. ",
"Pusuk buhit, Lake Toba, North Sumatera.",,433618953473105_525511117617221,wonderfulplacesindo,"Pusuk buhit, Lake Toba, North Sumatera. ",Lake Toba
Jakarta city in the afternoon,,433618953473105_521914461310220,wonderfulplacesindo,Jakarta city in the afternoon ,Jakarta
"Tiu kelep waterfall, Lombok",,433618953473105_521409808027352,wonderfulplacesindo,"Tiu kelep waterfall, Lombok ",Lombok
"Git Git Waterfall, Bali",,433618953473105_521048218063511,wonderfulplacesindo,"Git Git Waterfall, Bali ",Bali
"Cimahi waterfall, Cisarua, Bandung, West Java.",,433618953473105_520273281474338,wonderfulplacesindo,"Cimahi waterfall, Cisarua, Bandung, West Java. ",West Java$$Bandung$$Cisarua
"Papandayan Dead Forest, West Java.",,433618953473105_514079538760379,wonderfulplacesindo,"Papandayan Dead Forest, West Java. ",West Java
"Cikaso Waterfall, Sukabumi, West Java.",,433618953473105_513934018774931,wonderfulplacesindo,"Cikaso Waterfall, Sukabumi, West Java. ",West Java$$Sukabumi
"Hutabolon Village, Samosir, North Sumatera.",,433618953473105_513743822127284,wonderfulplacesindo,"Hutabolon Village, Samosir, North Sumatera. ",Hutabolon Village$$Samosir$$North Sumatera
"Raja Ampat Island, West Papua Province, Indonesia.

Gael",,433618953473105_512194005615599,wonderfulplacesindo,"Raja Ampat Island, West Papua Province, Indonesia.

Gael ",Raja Ampat Island$$Indonesia$$West Papua Province
"Jatiluwih Rice terraces, Bali.",,433618953473105_507097792791887,wonderfulplacesindo,"Jatiluwih Rice terraces, Bali. ",Bali
"America or Africa.

No, You are wrong.
This is Pergasingan hill, Sembulun, Lombok, Indonesia. <3",,433618953473105_506962256138774,wonderfulplacesindo,"America or Africa.

No, You are wrong.
This is Pergasingan hill, Sembulun, Lombok, Indonesia. <3 ",Indonesia$$Sembulun$$Pergasingan$$America$$Lombok$$Africa
"Misool - Raja Ampat.

Don't forget to keep the place clean when you visit this place.",,433618953473105_506659036169096,wonderfulplacesindo,"Misool - Raja Ampat.

Don't forget to keep the place clean when you visit this place. ",
"Ora beach, Maluku, Indonesia.
Let's swim together. :-D",,433618953473105_506303826204617,wonderfulplacesindo,"Ora beach, Maluku, Indonesia.
Let's swim together. :-D ",Indonesia$$Maluku
"Waiting for sunset from Panpacific Bali, The luxury golf resort with breathtaking views of the Indian Ocean and Tanah Lot Temple",,433618953473105_504390116395988,wonderfulplacesindo,"Waiting for sunset from Panpacific Bali, The luxury golf resort with breathtaking views of the Indian Ocean and Tanah Lot Temple ",Tanah Lot Temple$$Indian Ocean$$Panpacific Bali
"Labuan cermin, Berau

➡ Like and ➡ Share",,433618953473105_501930569975276,wonderfulplacesindo,"Labuan cermin, Berau

 Like and  Share ",Labuan
"Malino Highland, South Sulawesi Province.

#Wonderful_Indonesia",,433618953473105_500368506798149,wonderfulplacesindo,"Malino Highland, South Sulawesi Province.

#Wonderful_Indonesia ",Malino Highland$$South Sulawesi Province
"Komodo National Park Indonesia, who wants to visit this place?",,433618953473105_468610199973980,wonderfulplacesindo,"Komodo National Park Indonesia, who wants to visit this place? ",Komodo National Park Indonesia
"Ujung Kulon National Park, Banten Indonesia
Is the one of world heritage has protected by UNESCO since year 1991, the special of UKNP's is Rhinoceros Sondaicus, is the rareast mamals in the world and only found in Ujung Kulon National Park

Who wants to visit this place?",,433618953473105_461753300659670,wonderfulplacesindo,"Ujung Kulon National Park, Banten Indonesia
Is the one of world heritage has protected by UNESCO since year 1991, the special of UKNP's is Rhinoceros Sondaicus, is the rareast mamals in the world and only found in Ujung Kulon National Park

Who wants to visit this place? ",Banten Indonesia$$Ujung Kulon National Park$$Ujung Kulon National Park Who
"Cemoro Lawang Village In Mt. Bromo.
Who Wants To Live Here??",,433618953473105_457847184383615,wonderfulplacesindo,"Cemoro Lawang Village In Mt. Bromo.
Who Wants To Live Here?? ",Mt. Bromo
"Good morning everyone!
 This is Benang Kelambu WaterFall. Central lombok, NTB.
 What can you say?",,433618953473105_441061702728830,wonderfulplacesindo,"Good morning everyone!
 This is Benang Kelambu WaterFall. Central lombok, NTB.
 What can you say? ",
"Good Evening everyone.. ;-)

What would you like to say when saw this picture ..??
This is Komodo national park, East nusa tenggara, Indonesia..

If I'm just one
word, ie .. ""Wooowww"" :-D

#Wonderful_Indonesia..",,433618953473105_440824769419190,wonderfulplacesindo,"Good Evening  

What would you like to say when saw this picture ..??
This is Komodo national park, East nusa tenggara, Indonesia..

If I'm just one
word, ie .. ""Wooowww"" :-D

#Wonderful_Indonesia.. ",Indonesia
(Cat Island) Heaven of cats in West Sulawesi.,,433618953473105_440662702768730,wonderfulplacesindo,(Cat Island) Heaven of cats in West Sulawesi. ,West Sulawesi$$Cat Island
"Pink beach is one of the famous tourist destinations in Komodo National Park, featured by the beautiful pink sandy beach, amazing underwater life and stunning panorama surrounding area.",,433618953473105_438497806318553,wonderfulplacesindo,"Pink beach is one of the famous tourist destinations in Komodo National Park, featured by the beautiful pink sandy beach, amazing underwater life and stunning panorama surrounding area. ",Komodo National Park
"Carstenz pyramid and mt. Jaya wijaya, Snowy mountains in Indonesia.",,433618953473105_436387706529563,wonderfulplacesindo,"Carstenz pyramid and mt. Jaya wijaya, Snowy mountains in Indonesia. ",Indonesia
